SKU unidad negocio,Codigo regional,Descripcion,EAN,Proveedor,Equipo,PM asociado,Trazabilidad levantamiento,Etapa
1966323,OI24WMSO01B1,OI24 SOSTEN MUJ MICROF PREFORMADO WHITE,False,GUANGDONG PENGSHENG GARMENT INDUSTR,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1968253,O24HOCH19-B1,O24 SWEATER HOMBRE ML CR LISTADO NAVY,False,APPAREL PROMOTERS LTD.,VESTUARIO,Paula Molina,False,No completado - Nuevo
1968270,O24HOPR03-B4,O24 POLAR HOMBRE SM LISO ARMY,False,TIANJIN TIANTAI GARMENT I/E CO LTD.,VESTUARIO,Paula Molina,False,No completado - Nuevo
1966395,OI24WMWS03B1,OI24 W SHAPE CAMISETA MUJER BLACK,False,GUANGDONG PENGSHENG GARMENT INDUSTR,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1966314,OI24WMCU05B2-SISA,OI24 PX2 PANTALETAS MUJ PRINT SS ASSORTM,False,"XIAMEN HONESTY INDUSTRIAL CO,LTD",VESTUARIO,Daniela Walters,False,No completado - Nuevo
1966378,OI24WMSO40K2,OI24 SOSTEN MUJ SEAML ENCAJ K ITEM MENTA,False,GUANGDONG PENGSHENG GARMENT INDUSTR,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1966256,OI24WMBI01B2-SISA,OI24 BIKINI MUJER MICROFIBRA SS BLACK,False,GUANGDONG PENGSHENG GARMENT INDUSTR,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1966380,OI24WMSO41K2,OI24 BRALET MUJER HALTER BLACK,False,BSM ENTERPRISE LTD.,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1966365,OI24WMSO26B2,OI24 SOSTEN MJ MICROF PREF SIN ARO BLACK,False,BRENDISOL TRADING SA,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1966251,OI24WMBI01B2,OI24 BIKINI MUJER MICROFIBRA BLACK,False,GUANGDONG PENGSHENG GARMENT INDUSTR,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1966248,OI24MNSL02B2-SISA,OI24 PX2 SLIPS HOMBRE PRINT SISA NAVY,False,ZAOZHUANG MEILIYA KNITTING & CLOTHI,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1966403,OI24JGCZ05B1,OI24 PX2 PANTALETS NINA JR SEAMLESS DOTS,False,BRENDISOL TRADING SA,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1966239,OI24MNBX10K2,OI24 PX2 BOXER HOMBRE C.E BOX DDP FOOD,False,ZAOZHUANG MEILIYA KNITTING & CLOTHI,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1966238,OI24MNBX10K1,OI24 PX2 BOXER HOMBRE C.E BOX DDP SAFARI,False,ZAOZHUANG MEILIYA KNITTING & CLOTHI,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1966286,OI24WMBI41K1,OI24 BIKINI MUJER ENCAJE LISO WINE,False,BSM ENTERPRISE LTD.,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1966400,OI24JGCZ02B2,OI24 PX3 CALZONS NINA JR PRNT TGER FLOW,False,"XIAMEN HONESTY INDUSTRIAL CO,LTD",VESTUARIO,Daniela Walters,False,No completado - Nuevo
1966404,OI24JGCZ05B2,OI24 PX2 PANTALETS NINA JR SEAMLESS HEA,False,BRENDISOL TRADING SA,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1967502,O24KBPK02-B2,OI24 PARKA SM NINO LISA DIRTY GREEN,False,SUMEC TEXTILE & LIGHT INDUSTRY,VESTUARIO,Treicy Norambuena,False,No completado - Nuevo
1967501,O24KBPK02-BSISA1,OI24 PARKA SM NINO LISA SISA INDIGO,False,SUMEC TEXTILE & LIGHT INDUSTRY,VESTUARIO,Treicy Norambuena,False,No completado - Nuevo
1966268,OI24WMBI05B2-SISA,OI24 PX3 BIKINI MUJ PRNT SS ANIMAL ROSE,False,"XIAMEN HONESTY INDUSTRIAL CO,LTD",VESTUARIO,Daniela Walters,False,No completado - Nuevo
1966267,OI24WMBI05B1-SISA,OI24 PX3 BIKINI MUJ PRNT SS GREEN FLORA,False,"XIAMEN HONESTY INDUSTRIAL CO,LTD",VESTUARIO,Daniela Walters,False,No completado - Nuevo
1966359,OI24WMSO16B2,OI24 SOSTEN DEP MUJ SEAMLESS TEXT BLACK,False,BRENDISOL TRADING SA,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1967490,O24KBPL10-B2,OI24 POLERON NINO GORRO BLUE,False,WUHU WELTEX TRADE CO. LTD,VESTUARIO,Treicy Norambuena,False,No completado - Nuevo
1967532,OI24JBPL02-B1,OI24 POLERON JB HOODIE BEIGE,False,WUHU WELTEX TRADE CO. LTD,VESTUARIO,Treicy Norambuena,False,No completado - Nuevo
1968076,MC0988OI24-07,MUG ARCOIRIS 315ML KIDS,False,"NINGBO FUTURE HOUSEWARE CO.,LTD.",False,False,False,No completado - Nuevo
1968067,MC0934OI24-IN-01,BOWL DE SILICONA CON VENTOSA KIDS,False,"NINGBO HOZ TRADING CO.,LTD",False,False,False,No completado - Nuevo
1966340,OI24WMSO06B3,OI24 SOSTEN SEAML T.ANCHO PADD MJ BEIGE,False,GUANGDONG PENGSHENG GARMENT INDUSTR,VESTUARIO,Daniela Walters,False,No completado - Nuevo
